C행정구역별,행정구역별,C산업별,업종명,데이터업종명,C조직형태별,조직형태별,시점,사업체수 (개),종사자수 (명)
'00,전국,'F4241,"도장, 도배 및 내장 공사업",,'0,계,2018,31167,162086
'00,전국,'F42411,도장 공사업,,'0,계,2018,3470,32635
'00,전국,'F42412,"도배, 실내장식 및 내장 목공사업",,'0,계,2018,27697,129451
'00,전국,'F4242,유리 및 창호 공사업,,'0,계,2018,8183,37234
'00,전국,'F42420,유리 및 창호 공사업,,'0,계,2018,8183,37234
'00,전국,'F4249,기타 건축마무리 공사업,,'0,계,2018,5441,58414
'00,전국,'F42491,"미장, 타일 및 방수 공사업",,'0,계,2018,4325,51279
'00,전국,'F42492,건물용 금속공작물 설치 공사업,,'0,계,2018,721,5309
'00,전국,'F42499,그 외 기타 건축 마무리 공사업,,'0,계,2018,395,1826
'00,전국,'F425,시설물 유지관리 공사업,,'0,계,2018,2175,20027
'00,전국,'F4250,시설물 유지관리 공사업,,'0,계,2018,2175,20027
'00,전국,'F42500,시설물 유지관리 공사업,,'0,계,2018,2175,20027
'00,전국,'F426,건설장비 운영업,,'0,계,2018,6784,71405
'00,전국,'F4260,건설장비 운영업,,'0,계,2018,6784,71405
'00,전국,'F42600,건설장비 운영업,,'0,계,2018,6784,71405
'00,전국,'G,도매 및 소매업(45~47),,'0,계,2018,1027109,3250867
'00,전국,'G45,자동차 및 부품 판매업,,'0,계,2018,31183,134812
'00,전국,'G451,자동차 판매업,,'0,계,2018,9908,73113
'00,전국,'G4511,자동차 신품 판매업,,'0,계,2018,3547,44605
'00,전국,'G45110,자동차 신품 판매업,,'0,계,2018,3547,44605
'00,전국,'G4512,중고 자동차 판매업,,'0,계,2018,6361,28508
'00,전국,'G45120,중고 자동차 판매업,,'0,계,2018,6361,28508
'00,전국,'G452,자동차 부품 및 내장품 판매업,,'0,계,2018,19374,57941
'00,전국,'G4521,자동차 신품 부품 및 내장품 판매업,,'0,계,2018,17640,54557
'00,전국,'G45211,자동차 신품 타이어 및 튜브 판매업,,'0,계,2018,4325,12359
'00,전국,'G45212,자동차용 전용 신품 부품 판매업,,'0,계,2018,4568,17221
'00,전국,'G45213,자동차 내장용 신품 전기?전자? 정밀 기기 판매업,,'0,계,2018,2723,6141
'00,전국,'G45219,기타 자동차 신품 부품 및 내장품 판매업,,'0,계,2018,6024,18836
'00,전국,'G4522,자동차 중고 부품 및 내장품 판매업,,'0,계,2018,1734,3384
'00,전국,'G45220,자동차 중고 부품 및 내장품 판매업,,'0,계,2018,1734,3384
'00,전국,'G453,모터사이클 및 부품 판매업,,'0,계,2018,1901,3758
'00,전국,'G4530,모터사이클 및 부품 판매업,,'0,계,2018,1901,3758
'00,전국,'G45301,모터사이클 및 부품 도매업,,'0,계,2018,330,1023
'00,전국,'G45302,모터사이클 및 부품 소매업,,'0,계,2018,1571,2735
'00,전국,'G46,도매 및 상품 중개업,,'0,계,2018,319208,1285190
'00,전국,'G461,상품 중개업,,'0,계,2018,8711,30775
'00,전국,'G4610,상품 중개업,,'0,계,2018,8711,30775
'00,전국,'G46101,"산업용 농?축산물, 섬유 원료 및 동물 중개업",,'0,계,2018,314,1093
'00,전국,'G46102,음ㆍ식료품 및 담배 중개업,,'0,계,2018,2134,8794
'00,전국,'G46103,"섬유, 의복, 신발 및 가죽제품 중개업",,'0,계,2018,1121,4244
'00,전국,'G46104,목재 및 건축자재 중개업,,'0,계,2018,216,529
'00,전국,'G46105,"연료, 광물, 1차 금속, 비료 및 화학제품 중개업",,'0,계,2018,693,2240
'00,전국,'G46106,기계 및 장비 중개업,,'0,계,2018,1595,5915
'00,전국,'G46107,그 외 기타 특정 상품 중개업,,'0,계,2018,677,2024
'00,전국,'G46109,상품 종합 중개업,,'0,계,2018,1961,5936
'00,전국,'G462,산업용 농?축산물 및 동?식물 도매업,,'0,계,2018,10714,31056
'00,전국,'G4620,산업용 농?축산물 및 동?식물 도매업,,'0,계,2018,10714,31056
'00,전국,'G46201,곡물 및 유지작물 도매업,,'0,계,2018,2050,6181
'00,전국,'G46202,종자 및 묘목 도매업,,'0,계,2018,658,2485
'00,전국,'G46203,사료 도매업,,'0,계,2018,2039,7811
'00,전국,'G46204,화훼류 및 식물 도매업,,'0,계,2018,3786,8542
'00,전국,'G46205,육지동물 및 애완동물 도매업,,'0,계,2018,262,1081
'00,전국,'G46209,기타 산업용 농산물 도매업,,'0,계,2018,1919,4956
'00,전국,'G463,음ㆍ식료품 및 담배 도매업,,'0,계,2018,74234,300276
'00,전국,'G4631,신선식품 및 단순 가공식품 도매업,,'0,계,2018,44765,153412
'00,전국,'G46311,과실류 도매업,,'0,계,2018,5631,18397
'00,전국,'G46312,"채소류, 서류 및 향신작물류 도매업",,'0,계,2018,11546,39364
'00,전국,'G46313,육류 도매업,,'0,계,2018,11513,46312
'00,전국,'G46314,건어물 및 젓갈류 도매업,,'0,계,2018,2883,8817
'00,전국,'G46315,"신선, 냉동 및 기타 수산물 도매업",,'0,계,2018,11026,32827
'00,전국,'G46319,기타 신선식품 및 단순 가공식품 도매업,,'0,계,2018,2166,7695
'00,전국,'G4632,가공식품 도매업,,'0,계,2018,22351,101516
'00,전국,'G46321,육류 가공식품 도매업,,'0,계,2018,1635,7809
'00,전국,'G46322,수산물 가공식품 도매업,,'0,계,2018,1086,5638
'00,전국,'G46323,"빵류, 과자류, 당류, 초콜릿 도매업",,'0,계,2018,2330,11420
'00,전국,'G46324,낙농품 및 동?식물성 유지 도매업,,'0,계,2018,4538,16608
'00,전국,'G46325,커피 및 차류 도매업,,'0,계,2018,1806,6853
'00,전국,'G46326,조미료 도매업,,'0,계,2018,2322,8787
'00,전국,'G46329,기타 가공식품 도매업,,'0,계,2018,8634,44401
'00,전국,'G4633,음료 및 담배 도매업,,'0,계,2018,7118,45348
'00,전국,'G46331,주류 도매업,,'0,계,2018,2624,25561
'00,전국,'G46332,비알코올음료 도매업,,'0,계,2018,4184,15843
'00,전국,'G46333,담배 도매업,,'0,계,2018,310,3944
'00,전국,'G464,생활용품 도매업,,'0,계,2018,75412,333010
'00,전국,'G4641,"생활용 섬유제품, 의복, 의복 액세 서리 및 모피제품 도매업",,'0,계,2018,26926,91502
'00,전국,'G46411,생활용 섬유 및 실 도매업,,'0,계,2018,1040,2759
'00,전국,'G46412,커튼 및 침구용품 도매업,,'0,계,2018,1203,3720
'00,전국,'G46413,남녀용 겉옷 및 셔츠 도매업,,'0,계,2018,15563,59603
